,Site_Id,Read_Date,Salinity (ppt),Dissolved Oxygen (mg/L),pH (standard units),Secchi Depth (m),Water Depth (m),Water Temp (?C),Air Temp (?F),Time (24:00),AirTemp (C),Year
130,Bay,1991-11-21,2.6,9.1,7.0,0.15,0.85,17.0,67.1,2:24,19.5,1991
131,Bay,1991-11-29,3.3,10.8,7.5,0.25,0.6,12.0,59.0,0:00,15.0,1991
132,Bay,1991-12-09,2.0,10.4,7.5,0.15,0.25,10.0,59.0,0:00,15.0,1991
133,Bay,1991-12-20,1.4,15.1,8.0,0.2,0.3,2.0,35.6,14:24,2.0,1991
134,Bay,1991-12-27,2.9,11.6,7.5,0.35,0.49,7.0,44.6,14:24,7.0,1991
135,Bay,1992-01-03,2.0,11.8,7.5,0.28,0.45,10.0,53.6,14:24,12.0,1992
136,Bay,1992-01-09,2.2,11.3,7.5,0.3,0.99,7.5,49.1,2:24,9.5,1992
137,Bay,1992-01-20,1.4,12.6,7.0,0.2,0.58,2.0,32.9,21:36,0.5,1992
138,Bay,1992-01-30,1.6,11.6,7.0,0.25,0.48,6.0,43.7,16:48,6.5,1992
139,Bay,1992-02-10,2.4,14.2,7.0,0.25,0.3,3.0,39.2,4:48,4.0,1992
140,Bay,1992-02-17,2.0,11.1,7.0,0.15,0.68,10.0,44.6,14:24,7.0,1992
141,Bay,1992-02-23,2.4,10.0,7.5,0.15,0.68,12.5,54.5,12:00,12.5,1992
142,Bay,1992-03-02,2.9,11.3,8.0,0.2,0.8,13.0,59.9,21:36,15.5,1992
143,Bay,1992-03-09,3.5,10.0,7.5,0.25,0.75,16.0,64.4,9:36,18.0,1992
145,Bay,1992-03-23,2.9,11.6,7.5,0.05,0.35,3.0,44.6,14:24,7.0,1992
146,Bay,1992-04-06,3.0,11.0,7.5,0.25,0.42,9.0,50.0,0:00,10.0,1992
147,Bay,1992-04-13,3.8,10.6,7.5,0.1,0.5,13.0,45.5,12:00,7.5,1992
148,Bay,1992-04-20,4.7,9.4,7.0,0.2,0.78,17.0,55.4,9:36,13.0,1992
149,Bay,1992-04-27,3.7,9.6,7.0,0.35,0.65,14.0,55.49,11:45,13.05,1992
150,Bay,1992-05-05,3.8,8.9,7.5,0.2,0.6,15.5,50.0,0:00,10.0,1992
151,Bay,1992-05-11,4.2,9.2,7.5,0.3,0.7,17.5,62.6,14:24,17.0,1992
153,Bay,1992-06-01,5.0,9.4,7.0,0.4,0.9,20.0,68.9,21:36,20.5,1992
154,Bay,1992-06-08,4.3,7.9,7.0,0.4,1.05,27.5,84.2,4:48,29.0,1992
155,Bay,1992-06-15,5.1,7.8,8.0,0.4,0.8,25.0,84.2,4:48,29.0,1992
156,Bay,1992-06-22,4.7,9.0,7.5,0.45,0.68,19.0,64.4,9:36,18.0,1992
157,Bay,1992-06-29,4.5,0.8,7.5,0.4,0.8,26.0,78.8,19:12,26.0,1992
158,Bay,1992-07-06,4.3,7.5,7.5,0.45,1.0,25.0,75.2,4:48,24.0,1992
159,Bay,1992-07-13,5.1,7.3,7.5,0.35,0.95,28.5,87.8,19:12,31.0,1992
160,Bay,1992-07-27,5.1,7.6,8.0,0.35,0.95,28.0,86.9,21:36,30.5,1992
161,Bay,1992-08-03,4.5,8.0,8.0,0.3,0.85,26.0,78.8,19:12,26.0,1992
162,Bay,1992-08-07,4.7,8.0,8.0,0.33,0.6,23.0,77.0,0:00,25.0,1992
163,Bay,1992-08-14,4.7,7.1,7.5,0.4,0.95,24.5,71.6,14:24,22.0,1992
164,Bay,1992-08-23,3.9,8.5,8.0,0.4,0.8,24.5,78.8,19:12,26.0,1992
165,Bay,1992-08-31,4.3,7.7,7.5,0.3,1.0,23.0,77.0,0:00,25.0,1992
166,Bay,1992-09-14,4.8,9.2,8.0,0.38,0.38,19.5,71.6,14:24,22.0,1992
167,Bay,1992-09-20,4.3,7.6,7.5,0.35,0.8,23.5,75.2,4:48,24.0,1992
168,Bay,1992-09-27,5.4,9.8,8.0,0.25,0.45,24.0,79.7,16:48,26.5,1992
169,Bay,1992-10-05,3.9,9.2,7.5,0.1,0.15,16.0,62.6,14:24,17.0,1992
170,Bay,1992-10-19,4.1,9.8,7.5,0.1,1.0,12.0,50.0,0:00,10.0,1992
171,Bay,1992-10-26,4.2,10.6,7.0,0.3,0.63,12.5,55.4,9:36,13.0,1992
172,Bay,1992-11-02,3.4,10.6,7.5,0.35,0.65,16.5,63.5,12:00,17.5,1992
174,Bay,1992-11-16,3.9,11.0,7.5,0.4,0.55,7.5,41.9,21:36,5.5,1992
175,Bay,1992-11-23,3.9,9.0,7.85,0.25,0.85,18.5,70.7,16:48,21.5,1992
176,Bay,1992-11-30,3.7,10.9,7.5,0.55,0.7,9.0,46.4,9:36,8.0,1992
177,Bay,1992-12-17,4.1,10.8,7.0,0.15,0.5,12.0,59.9,21:36,15.5,1992
178,Bay,1992-12-20,3.8,10.1,7.0,0.25,0.85,10.5,50.9,21:36,10.5,1992
179,Bay,1992-12-27,4.7,13.2,7.0,0.25,0.45,5.5,41.9,21:36,5.5,1992
180,Bay,1993-01-04,3.7,11.0,7.0,0.35,0.5,8.0,60.8,19:12,16.0,1993
181,Bay,1993-01-11,3.5,11.9,7.0,0.25,0.25,9.0,44.6,14:24,7.0,1993
182,Bay,1993-01-24,3.3,10.5,7.0,0.3,0.95,10.5,58.1,2:24,14.5,1993
183,Bay,1993-02-01,2.9,12.0,7.0,0.2,0.85,6.0,49.1,2:24,9.5,1993
184,Bay,1993-02-08,3.4,12.6,7.0,0.1,0.3,5.0,41.9,21:36,5.5,1993
185,Bay,1993-02-16,3.5,12.4,7.0,0.3,0.75,8.0,53.6,14:24,12.0,1993
186,Bay,1993-02-22,2.9,12.7,7.0,0.1,0.85,8.0,59.0,0:00,15.0,1993
187,Bay,1993-03-08,3.9,10.7,7.0,0.1,1.15,10.0,56.3,7:12,13.5,1993
188,Bay,1993-03-15,3.4,12.8,7.0,0.5,1.7,2.5,34.7,16:48,1.5,1993
189,Bay,1993-03-22,3.3,11.2,7.0,0.15,0.4,10.0,51.8,19:12,11.0,1993
190,Bay,1993-03-29,3.0,10.0,7.0,0.5,0.7,14.5,54.5,12:00,12.5,1993
192,Bay,1993-04-05,2.5,10.0,7.0,0.35,0.8,10.0,44.6,14:24,7.0,1993
193,Bay,1993-04-12,2.5,9.7,7.0,0.3,1.0,15.5,60.8,10.15,16.0,1993
194,Bay,1993-04-19,3.0,10.0,7.0,0.3,1.15,14.5,53.6,14:24,12.0,1993
195,Bay,1993-04-26,3.4,8.7,7.0,0.3,1.2,19.0,69.8,19:12,21.0,1993
196,Bay,1993-05-10,3.2,8.0,7.0,0.4,0.85,21.0,69.8,19:12,21.0,1993
197,Bay,1993-05-17,3.9,8.0,7.0,0.5,1.0,24.0,77.0,0:00,25.0,1993
198,Bay,1993-05-24,2.9,9.0,7.0,0.3,0.85,20.0,71.6,14:24,22.0,1993
200,Bay,1993-06-14,3.9,8.1,7.0,0.45,0.45,21.5,68.9,21:36,20.5,1993
201,Bay,1993-06-21,3.8,7.2,7.0,0.55,1.0,26.5,80.6,14:24,27.0,1993
202,Bay,1993-06-28,3.9,7.1,7.0,0.55,0.8,26.5,86.0,0:00,30.0,1993
204,Bay,1993-07-19,4.2,7.3,7.5,0.45,0.75,27.0,81.5,12:00,27.5,1993
